Dispatched,Description,Address,Grid,Report
1/17/2023 15:14,SUSPICIOUS VEHICLE,2400 BLOCK W AZEELE ST,160,24599
1/17/2023 15:43,HOLDING PERSON,5000 BLOCK E BUSCH BLVD,24,24594
1/17/2023 15:04,VEHICLE STOP/TRAFFIC,N 39TH ST / E LAKE AVE,99,24591
1/17/2023 15:36,INFORMATION,1000 BLOCK E NORTH BAY ST,83,24593
1/17/2023 15:05,INFORMATION,15400 BLOCK PLANTATION OAKS DR,222,24592
1/17/2023 15:01,INFORMATION,N 15TH ST / E OSBORNE AVE,83,24586
1/17/2023 14:58,BUILDING CHECK,1100 BLOCK W SPRUCE ST,124,24584
1/17/2023 14:58,NARCOTIC LAW (DRUGS),2000 BLOCK E SLIGH AVE,53,24583
1/17/2023 14:58,INFORMATION,1000 BLOCK E ESKIMO AVE,29,24582
1/17/2023 15:03,GRAND THEFT,3700 BLOCK LOWRY CT,99,24588
1/17/2023 15:25,ASSAULT/BATTERY,900 BLOCK W GRACE ST,139,24585
1/17/2023 14:57,INFORMATION,N WEST SHORE BLVD / W KENNEDY BLVD,149,24581
1/17/2023 14:56,INFORMATION,E DAVIS BLVD / BISCAYNE AVE,133,24578
1/17/2023 7:16,POLICE SERVICE CALL,7200 BLOCK S KISSIMMEE ST,194,24579
1/17/2023 14:53,INFORMATION,4400 BLOCK S HIMES AVE,185,24574
1/17/2023 16:36,AUTO BURGLARY,800 BLOCK FREDERIC H SPAULDING DR,155,24577
1/17/2023 15:11,DISTURBANCE,3300 BLOCK W CARACAS ST,65,24575
1/17/2023 14:54,FOLLOW UP INVESTIGATION,8900 BLOCK N FLORIDA AVE,28,24570
1/17/2023 14:52,DISTURBANCE,2000 BLOCK N DALE MABRY HWY,120,24568
1/17/2023 16:39,GRAND THEFT,2500 BLOCK S OBRAPIA ST,171,24569
1/17/2023 14:49,BURG OF A STRUCTURE,200 BLOCK W GIDDENS AVE,69,24567
1/17/2023 15:18,TRAFFIC CRASH,N 30TH ST / E LINEBAUGH AVE,22,24563
1/17/2023 14:40,VEHICLE STOP/TRAFFIC,E LAKE AVE / N 38TH ST,99,24561
1/17/2023 14:39,BUILDING CHECK,W WATERS AVE / N ARMENIA AVE,34,24560
1/17/2023 14:41,INFORMATION,N 40TH ST / E HILLSBOROUGH AVE,74,24559
1/17/2023 14:36,MISDEMEANOR,1700 BLOCK E HILLSBOROUGH AVE,60,24557
1/17/2023 14:46,FOLLOW UP INVESTIGATION,4100 BLOCK W NASSAU ST,120,24556
1/17/2023 14:33,TRAFFIC CRASH,N LOIS AVE / W HILLSBOROUGH AVE,64,24553
1/17/2023 14:35,HIT AND RUN,W 7TH AVE / N HIGHLAND AVE,115,24550
1/17/2023 14:35,MISDEMEANOR,11200 BLOCK N NEBRASKA AVE,4,24552
1/17/2023 14:29,ASSAULT/BATTERY,10200 BLOCK N BOULEVARD,10,24548
1/17/2023 15:02,INFORMATION,2700 BLOCK PIONEER DAYS LN,54,24549
1/17/2023 14:25,VEHICLE STOP/TRAFFIC,E 23RD AVE / N 28TH ST,109,24541
1/17/2023 14:31,DEAD ANIMAL/HAZARD,200 BLOCK COLUMBIA DR,133,24545
1/17/2023 14:29,HIT AND RUN,6700 BLOCK N FLORIDA AVE,50,24542
1/17/2023 14:27,DOMESTIC DISPUTE,1300 BLOCK E 28TH AVE,96,24543
1/17/2023 14:25,TRAFFIC CRASH,E BUSCH BLVD / N 30TH ST,31,24536
1/17/2023 14:28,INFORMATION,8300 BLOCK N ROME AVE,34,24538
1/17/2023 14:34,MISDEMEANOR,8900 BLOCK N FLORIDA AVE,28,24531
1/17/2023 14:27,INFORMATION,1900 BLOCK W SAINT ISABEL ST,92,24537
1/17/2023 15:37,DISTURBANCE,5000 BLOCK E BUSCH BLVD,24,24529
1/17/2023 14:12,INFORMATION,3700 BLOCK HENDERSON BLVD,165,24528
1/17/2023 14:10,VEHICLE STOP/TRAFFIC,E DR MARTIN LUTHER KING JR BLVD / N 39TH ST,99,24525
1/17/2023 14:10,MISDEMEANOR,200 BLOCK BAYSHORE BLVD,162,24524
1/17/2023 14:17,PETTY THEFT,500 BLOCK E COLUMBUS DR,116,24527
1/17/2023 14:10,DISTURBANCE,4100 BLOCK FIESTA PLZ,91,24516
1/17/2023 14:08,DOMESTIC DISPUTE,11200 BLOCK N 22ND ST,6,24519
1/17/2023 14:04,INFORMATION,HENDERSON BLVD / S DALE MABRY HWY,164,24513
1/17/2023 14:03,INFORMATION,5200 BLOCK CYPRESS PRESERVE DR,226,24512
1/17/2023 14:44,MISDEMEANOR,10900 BLOCK N NEBRASKA AVE,3,24508
1/17/2023 14:13,INFORMATION,E LINEBAUGH AVE / N NEBRASKA AVE,19,24507
1/17/2023 13:54,VEHICLE STOP/TRAFFIC,E BUSCH BLVD / N 30TH ST,31,24503
1/17/2023 14:05,FOLLOW UP INVESTIGATION,3000 BLOCK W DR MARTIN LUTHER KING JR BLVD,78,24502
1/17/2023 13:52,LOST/FOUND PROPERTY,2600 BLOCK E COLUMBUS DR,109,24498
1/17/2023 14:03,MISDEMEANOR,200 BLOCK S WEST SHORE BLVD,156,24499
1/17/2023 13:51,ASSAULT/BATTERY,10200 BLOCK N BOULEVARD,10,24496
